Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
"PALERMO","Keffran","BLOW!","Favorite Tracks","Favorite","3213669811","3213669811"
"SahBabii","ATLP","TATASS MUSIC 9","Favorite Tracks","Favorite","3346935151","3346935151"
"Norbit","Bas","Norbit","Favorite Tracks","Favorite","3339333271","3339333271"
"Mélanine","Steban","MODE SPORT 2","Favorite Tracks","Favorite","3345119101","3345119101"
"Bon débarras","LMB","Bon débarras","Favorite Tracks","Favorite","3345120971","3345120971"
"KYKY2BONDY","Hamza","KYKY2BONDY","Favorite Tracks","Favorite","3330178491","3330178491"
"square one","redveil","square one","Favorite Tracks","Favorite","3293277661","3293277661"
"Crack !","Tre Savage","Crack !","Favorite Tracks","Favorite","3092202091","3092202091"
"Une rose","Luni Sacks","Une rose","Favorite Tracks","Favorite","1986524597","1986524597"
"tout le globe","S-Tee","unreleased vol.3","Favorite Tracks","Favorite","3288614581","3288614581"
"souvenirs","Luni Sacks","souvenirs","Favorite Tracks","Favorite","3288568481","3288568481"
"Crabs In A Bucket","Vince Staples","Big Fish Theory","Favorite Tracks","Favorite","373954401","373954401"
"Casino","Decimo","Symphonia (Vol. 1)","Favorite Tracks","Favorite","2175247617","2175247617"
"PLAQUES ARABES","Infinit'","COMMISSION","Favorite Tracks","Favorite","3324444191","3324444191"
"OTR Freestyle","ThaHomey","OTR Freestyle","Favorite Tracks","Favorite","3329318931","3329318931"
"Monogramme","Steban","Monogramme","Favorite Tracks","Favorite","3333275121","3333275121"
"GUCCI MANE EN 2013","Zequin","GUCCI MANE EN 2013","Favorite Tracks","Favorite","3327145221","3327145221"
"Paranoia","SL","Paranoia","Favorite Tracks","Favorite","3295727551","3295727551"
"WHAT CAN I DO","Diddi Trix","DOPE MUSIC, Vol. 2","Favorite Tracks","Favorite","3325616441","3325616441"
"PLUS D'VOIX","Diddi Trix","DOPE MUSIC, Vol. 2","Favorite Tracks","Favorite","3325616481","3325616481"
"PAS PRÊT DE CESSER","Diddi Trix","DOPE MUSIC, Vol. 2","Favorite Tracks","Favorite","3325616471","3325616471"
"CRACK","Diddi Trix","DOPE MUSIC, Vol. 2","Favorite Tracks","Favorite","3325616461","3325616461"
"RUE FONTAINE","Diddi Trix","DOPE MUSIC, Vol. 2","Favorite Tracks","Favorite","3325616451","3325616451"
"Nouvelle R (Green Remix)","Guy2bezbar","Nouvelle R (Green Remix)","Favorite Tracks","Favorite","3301699051","3301699051"
"APPEL D'UN BRO","Jolagreen23","GOTY EDITION","Favorite Tracks","Favorite","3338346741","3338346741"
"7.5.0.8 ST LAZARE","Jolagreen23","GOTY EDITION","Favorite Tracks","Favorite","3338346721","3338346721"
"SMACKDOWN VS RAW2009","Jolagreen23","GOTY EDITION","Favorite Tracks","Favorite","3338346711","3338346711"
"Ready Set Go","Kwengface","Ready Set Go","Favorite Tracks","Favorite","3319037981","3319037981"
"habib","MadeInParis","mourir peut attendre","Favorite Tracks","Favorite","3027380391","3027380391"
"4 Décembre","Limsa D'aulnay","Logique, Pt. 1","Favorite Tracks","Favorite","999537872","999537872"
"FF","Limsa D'aulnay","Grünt Tunes","Favorite Tracks","Favorite","1785157307","1785157307"
"kool kidz (feat. 63OG)","elyslime!","perc31","Favorite Tracks","Favorite","3158807561","3158807561"
"main character","elyslime!","perc31","Favorite Tracks","Favorite","3158807551","3158807551"
"OTW","elyslime!","perc31","Favorite Tracks","Favorite","3158807541","3158807541"
"no diddy / dolo","elyslime!","perc31","Favorite Tracks","Favorite","3158807521","3158807521"
"sagacité (225 Slang)","elyslime!","perc31","Favorite Tracks","Favorite","3158807501","3158807501"
"NPNG","elyslime!","perc31","Favorite Tracks","Favorite","3158807491","3158807491"
"run up ce cheese","elyslime!","perc31","Favorite Tracks","Favorite","3158807471","3158807471"
"Lucky Charm","ROÜGE","Anti Hero","Favorite Tracks","Favorite","1528361392","1528361392"
"MONTEGOBURR","Zequin","MONTEGOBURR","Favorite Tracks","Favorite","3282174361","3282174361"
"CAPITALISTE","Skefre","CAPITALISTE","Favorite Tracks","Favorite","3279669911","3279669911"
"Rock","Stepz","Rock","Favorite Tracks","Favorite","3035095241","3035095241"
"MURCIELAGO","Carlit013","MURCIELAGO","Favorite Tracks","Favorite","3240231581","3240231581"
"OCEAN DRIVE","6ejou","HARAMCORE","Favorite Tracks","Favorite","2592589952","2592589952"
"ROI DES ROIS (feat. Epektase, Pandrezz & j'san)","Zeu","DOPPELGÄNGER","Favorite Tracks","Favorite","3059227281","3059227281"
"CRACK AUDIBLE (feat. Epektase, Pandrezz & j'san)","Zeu","DOPPELGÄNGER","Favorite Tracks","Favorite","3059227271","3059227271"
"BIRKIN RUNTZ (feat. Epektase, Pandrezz & j'san)","Zeu","DOPPELGÄNGER","Favorite Tracks","Favorite","3059227251","3059227251"
"BEHERIT (feat. Epektase, Pandrezz & j'san)","Zeu","DOPPELGÄNGER","Favorite Tracks","Favorite","3059227241","3059227241"
"BIONIC (feat. Epektase, Pandrezz & j'san)","Zeu","DOPPELGÄNGER","Favorite Tracks","Favorite","3059227221","3059227221"
"First Day Out","Jeune Morty","First Day Out","Favorite Tracks","Favorite","3266343191","3266343191"
"Personnage","Slkrack","Personnage","Favorite Tracks","Favorite","3242716301","3242716301"
"BOMBOM","J9ueve","HARMONY","Favorite Tracks","Favorite","3260300951","3260300951"
